utctimestamp,01FI1101E/PV.CV,01FI1103/AI1/PV.CV,01AI1923/AI1/PV.CV,60PI0496/AI1/PV.CV,01TI1538/AI1/PV.CV,01HC1955/PID1/PV.CV
2017-01-03 01:00:00+00:00,492.0072872,45.94343841,97.23107102,1024.453883,3.18336971,5665.876899
2017-01-03 02:00:00+00:00,522.7529817,25.49420224,97.17069613,1024.692505,2.822058706,5663.15796
2017-01-03 03:00:00+00:00,502.0424104,37.92490241,97.11826147,1024.658936,2.361385837,5653.311336
2017-01-03 04:00:00+00:00,523.805411,25.159073,97.07335853,1024.462173,2.060611839,5644.271323
2017-01-03 05:00:00+00:00,524.5887546,33.08071173,97.02845559,1024.244303,1.924128142,5626.505679
2017-01-03 06:00:00+00:00,502.0847963,23.68036482,96.98355264,1024.05423,1.395116405,5622.286297
2017-01-03 07:00:00+00:00,518.1749137,44.87798302,96.9386497,1023.95932,1.10022339,5647.044723
2017-01-03 08:00:00+00:00,524.8573435,64.45384462,96.89374676,1024.152954,1.258686643,5618.049192
2017-01-03 09:00:00+00:00,500.3559387,47.41198514,96.84884382,1024.225447,1.872231837,5623.5027
2017-01-03 10:00:00+00:00,520.1458237,26.42138588,96.799505,1023.538112,2.724174498,5639.641321
2017-01-03 11:00:00+00:00,525.9553151,47.03899221,96.51639842,1022.560589,4.239494234,5658.764356
2017-01-03 12:00:00+00:00,522.9587515,32.03615741,96.10089631,1022.025208,5.05361151,5664.560354
2017-01-03 13:00:00+00:00,526.9714216,53.11109106,95.68539419,1021.526805,5.175176255,5652.07724
2017-01-03 14:00:00+00:00,505.7148992,37.98282725,95.26989208,1021.112101,5.255580197,5668.057163
2017-01-03 15:00:00+00:00,524.8396888,28.08379701,94.85438997,1020.723998,6.013490283,5666.955627
2017-01-03 16:00:00+00:00,496.0406241,34.81887959,94.43888785,1020.318044,6.531145348,5645.187981
2017-01-03 17:00:00+00:00,500.7662261,40.49552985,94.02338574,1019.910024,6.294267932,5641.258784
2017-01-03 18:00:00+00:00,526.2233995,33.15559164,93.60482025,1019.888763,6.621528752,5641.481391
2017-01-03 19:00:00+00:00,497.0435487,62.18294698,93.13767471,1019.368388,6.868951218,5645.858474
2017-01-03 20:00:00+00:00,524.6013983,42.49653146,92.65371779,1018.745996,6.835601668,5667.82102
2017-01-03 21:00:00+00:00,512.9312475,39.62211247,92.16976087,1018.279994,6.512786612,5664.951529
2017-01-03 22:00:00+00:00,502.2165162,52.35653846,91.68580395,1017.656723,6.723829004,5666.690179
2017-01-03 23:00:00+00:00,498.6785323,46.9904273,91.20184703,1017.276438,6.8965502,5675.892017
2017-01-04 00:00:00+00:00,499.2430664,57.84867109,90.71789011,1016.755249,7.088403691,5666.846676
2017-01-04 01:00:00+00:00,499.3285412,34.81351964,90.2339332,1016.212443,7.652251078,5669.917397
2017-01-04 02:00:00+00:00,494.6964221,32.67111296,89.84473899,1015.832804,7.732237026,5651.016301
2017-01-04 03:00:00+00:00,493.9485737,36.82390458,90.18180483,1015.348541,7.303793549,5651.112485
2017-01-04 04:00:00+00:00,500.6326476,39.093758,90.67065041,1015.047159,6.89328693,5668.358011
2017-01-04 05:00:00+00:00,509.0224024,41.09382672,91.159496,1014.779498,6.919641345,5650.427181
2017-01-04 06:00:00+00:00,488.6477696,38.55795449,91.64834159,1014.728141,7.177163243,5659.025675
2017-01-04 07:00:00+00:00,496.2490397,48.61826106,92.13718718,1014.968462,6.951149452,5654.448149
2017-01-04 08:00:00+00:00,516.4913403,62.91567416,92.62603276,1015.395844,6.220218941,5652.25537
2017-01-04 09:00:00+00:00,518.1420382,46.15186984,93.11458992,1015.679911,6.886395456,5652.058137
2017-01-04 10:00:00+00:00,495.9865793,54.67280057,91.93804168,1015.997498,7.372918701,5658.460105
2017-01-04 11:00:00+00:00,520.2396538,37.41107207,89.18205171,1016.265544,7.271211137,5656.383654
2017-01-04 12:00:00+00:00,493.4155307,33.80850576,86.63111278,1016.4782,6.210677116,5656.079304
2017-01-04 13:00:00+00:00,520.878852,61.75125409,86.00969261,1016.474519,5.720139404,5664.752301
2017-01-04 14:00:00+00:00,510.2109348,57.71517142,85.86375377,1016.976579,5.449019857,5657.333214
2017-01-04 15:00:00+00:00,502.2753057,34.73569063,85.71781493,1017.245219,5.744259114,5646.2335
2017-01-04 16:00:00+00:00,503.213274,51.44078281,85.67629809,1017.82991,5.187339943,5648.811187
2017-01-04 17:00:00+00:00,524.7870608,55.24937302,85.8485258,1018.271873,5.51767166,5652.682246
2017-01-04 18:00:00+00:00,508.9194625,47.21538708,86.02710034,1018.926267,5.623334827,5663.359983
2017-01-04 19:00:00+00:00,515.6085568,46.13649397,86.20597604,1019.611486,5.008660152,5670.318143
2017-01-04 20:00:00+00:00,511.4386238,39.83740673,86.38988075,1020.065104,5.077446565,5658.430513
2017-01-04 21:00:00+00:00,517.6847278,25.09575531,86.57557603,1020.644656,4.916378557,5661.162706
2017-01-04 22:00:00+00:00,519.3962005,54.17565908,86.7612713,1021.363383,4.654036075,5652.049259
2017-01-04 23:00:00+00:00,506.4653317,24.91410047,86.94696658,1021.873586,4.22330001,5652.393423
2017-01-05 00:00:00+00:00,525.5577596,56.03897895,87.13266186,1022.306071,4.18847226,5634.025447
2017-01-05 01:00:00+00:00,528.1851116,24.32197227,87.31835713,1022.824625,4.160841365,5657.134397
2017-01-05 02:00:00+00:00,523.4432812,36.44411163,87.50405241,1023.32725,4.434984721,5658.768433
2017-01-05 03:00:00+00:00,519.0096797,34.31633108,87.67347076,1023.830282,4.644730749,5649.197091
2017-01-05 04:00:00+00:00,506.7938643,29.68100237,87.71347741,1024.341197,4.538721844,5634.311881
2017-01-05 05:00:00+00:00,514.7378895,31.39467625,87.72558651,1024.820246,4.512255541,5631.90798
2017-01-05 06:00:00+00:00,511.0311432,51.92186855,87.7376956,1025.33123,4.256881457,5621.971389
2017-01-05 07:00:00+00:00,506.8054544,39.08673754,87.74980469,1026.111484,4.034318022,5639.325635
2017-01-05 08:00:00+00:00,503.7673732,48.60587497,87.76191379,1027.34964,3.466050454,5613.791324
2017-01-05 09:00:00+00:00,527.9825446,30.13113183,87.61430177,1028.15749,3.870283702,5624.136289
2017-01-05 10:00:00+00:00,523.5603807,28.56465062,87.24976785,1028.703655,4.266321911,5630.457514
2017-01-05 11:00:00+00:00,525.5450729,41.60673122,86.8840079,1029.231659,4.608484451,5609.108239
2017-01-05 12:00:00+00:00,495.5884754,52.71914089,86.51824795,1029.494008,4.831936026,5607.075976
2017-01-05 13:00:00+00:00,523.296192,56.42375213,86.152488,1029.949035,4.457894876,5609.593265
2017-01-05 14:00:00+00:00,499.2151759,54.70441861,85.78885399,1030.893422,3.743138098,5601.457638
2017-01-05 15:00:00+00:00,514.5487751,59.49168245,85.47744496,1031.726431,2.69864847,5594.887672
2017-01-05 16:00:00+00:00,522.1918426,26.76564548,85.18849524,1032.473155,1.412095934,5604.027928
2017-01-05 17:00:00+00:00,497.7549802,46.59823852,84.89954553,1033.061991,0.758196131,5587.065137
2017-01-05 18:00:00+00:00,528.3946361,58.95254837,84.61059582,1033.972948,0.393011051,5607.854795
2017-01-05 19:00:00+00:00,494.4945412,47.74369321,84.3216461,1034.470525,-0.189758412,5589.164866
2017-01-05 20:00:00+00:00,512.2059162,47.75073586,84.0334784,1035.055674,-0.566722562,5554.113807
2017-01-05 21:00:00+00:00,516.0358656,57.36367299,84.03069903,1035.639501,-0.940068569,5560.895799
2017-01-05 22:00:00+00:00,522.3415971,51.3935476,84.25878058,1036.15774,-1.175769171,5568.339821
2017-01-05 23:00:00+00:00,527.6647312,53.09177553,84.48686213,1036.486898,-0.998730488,5567.909409
2017-01-06 00:00:00+00:00,522.9316483,56.87288884,84.56251326,1036.484863,-1.508096667,5567.88784
2017-01-06 01:00:00+00:00,511.8154827,35.58726334,84.39741008,1036.514618,-1.929842607,5589.359836
2017-01-06 02:00:00+00:00,516.9730421,65.5410509,84.22932089,1036.634145,-1.858221145,5579.250968
